Achievements/AC01_DESC: 击败默哀守望者
Achievements/AC01_NAME: 前途漫漫
Achievements/AC02_DESC: 击败特彼达德
Achievements/AC02_NAME: 绝无悲悯
Achievements/AC03_DESC: 击败焦容圣母
Achievements/AC03_NAME: 无面者
Achievements/AC04_DESC: 击败特雷斯·安古斯塔斯
Achievements/AC04_NAME: 悚然之舞
Achievements/AC05_DESC: 击败圣膏军的埃达斯
Achievements/AC05_NAME: 兄弟
Achievements/AC06_DESC: 击败梅尔基亚德斯，掘墓大主教
Achievements/AC06_NAME: 珠宝圣徒
Achievements/AC07_DESC: 击败弃婴，放逐之裔
Achievements/AC07_NAME: 盲目无罪者
Achievements/AC08_DESC: 击败永恒火葬的奎尔斯
Achievements/AC08_NAME: 尘归尘
Achievements/AC09_DESC: 击败克兰莎，束裹之痛.
Achievements/AC09_NAME: 弃绝信仰
Achievements/AC10_DESC: 击败埃斯科利巴圣王
Achievements/AC10_NAME: 渎神极致
Achievements/AC11_DESC: 解锁A结局
Achievements/AC11_NAME: 信徒之途
Achievements/AC12_DESC: 解锁B结局
Achievements/AC12_NAME: 卑者之途
Achievements/AC13_DESC: 释放所有小天使
Achievements/AC13_NAME: 公牛与月亮
Achievements/AC14_DESC: 发现26具原初死者的遗言
Achievements/AC14_NAME: 遗言
Achievements/AC15_DESC: 完成所有竞技场挑战
Achievements/AC15_NAME: 弃绝联系
Achievements/AC16_DESC: 获得13个原初祷文
Achievements/AC16_NAME: 竭诚奉献
Achievements/AC17_DESC: 获得7份原初圣物
Achievements/AC17_NAME: 皮与骨
Achievements/AC18_DESC: 获得30颗诵经念珠
Achievements/AC18_NAME: 神秘路西斯
Achievements/AC19_DESC: 获得44个原初收藏品
Achievements/AC19_NAME: 藏骨瓮守望者
Achievements/AC20_DESC: 获得9个原初剑之心
Achievements/AC20_NAME: 心与痕
Achievements/AC21_DESC: 探索古斯托迪亚主要区域
Achievements/AC21_NAME: 古斯托迪亚的朝圣者
Achievements/AC22_DESC: 生命值达到最大值
Achievements/AC22_NAME: 六刺之痛
Achievements/AC23_DESC: 热情值达到最大值
Achievements/AC23_NAME: 信仰洗礼
Achievements/AC24_DESC: 孽刃达到最大等级
Achievements/AC24_NAME: 孽刃
Achievements/AC25_DESC: 圣水瓶达到最大值
Achievements/AC25_NAME: 生命之泉
Achievements/AC26_DESC: 诵经念珠空槽达到最大值
Achievements/AC26_NAME: 恩歌拉夏
Achievements/AC27_DESC: 处决5个不同的敌人
Achievements/AC27_NAME: 宗教裁判所
Achievements/AC28_DESC: 使用5次正义天罚
Achievements/AC28_NAME: 释放威力
Achievements/AC29_DESC: 访问长尾礼服女士之墓
Achievements/AC29_NAME: 污染者之欲
Achievements/AC30_DESC: 将所有供品带给罗德维罗
Achievements/AC30_NAME: 真正的神龛
Achievements/AC31_DESC: 目睹维尔达拉的最后时刻
Achievements/AC31_NAME: 最后一息
Achievements/AC32_DESC: 帮助克罗法斯完成他的救赎之旅
Achievements/AC32_NAME: 重生
Achievements/AC33_DESC: 帮助朝圣者抵达最终目的地
Achievements/AC33_NAME: 朝圣之旅
Achievements/AC34_DESC: 将所有供品带给盐岸神佑领主
Achievements/AC34_NAME: 以至高意志之名
Achievements/AC35_DESC: 拯救所有吻伤者
Achievements/AC35_NAME: 地中海饮食
Achievements/AC36_DESC: 购买卡德拉尼亚商店中的所有物品
Achievements/AC36_NAME: 跳蚤市场
Achievements/AC37_DESC: 孵化阿塔吉拉卡斯之卵
Achievements/AC37_NAME: 温与柔
Achievements/AC38_DESC: 击败佩佩塔
Achievements/AC38_NAME: 姐妹
Achievements/AC39_DESC: 消灭51种原初敌人
Achievements/AC39_NAME: 动物寓言集
Achievements/AC40_DESC: 自孽刃神龛购买所有技能
Achievements/AC40_NAME: 血与泪
Achievements/AC41_DESC: 击败666名敌人
Achievements/AC41_NAME: 野兽之数
Achievements/AC42_DESC: 促进雷德罗与克罗法斯的会面
Achievements/AC42_NAME: 灵魂交际
Achievements/AC43_DESC: 不用圣水瓶的情况下消灭原初的首领
Achievements/AC43_NAME: 镇魂曲
Achievements/AC44_DESC: 在3小时内穿越三颅之桥上的铜门
Achievements/AC44_NAME: 铜质奖章
Achievements/AC46_DESC: 游戏完成度100%
Achievements/AC46_NAME: 目睹奇迹
BOSSES/DLG_BS102_01_0: 忏悔者啊，把我从这虚伪的美德中解脱出来吧。把我从这虚假的死亡中解脱出来！
BOSSES/DLG_BS102_02_0: 无论你是否被奇迹亲吻，你的忏悔都将在这里结束
BOSSES/DLG_BS102_03_0: 安息在我破碎的坟墓旁吧
BOSSES/DLG_BS102_04_0: 当我们的奇迹遣回你时，死去，然后回到我身旁吧
BOSSES/DLG_BS102_05_0: 我的热情，曾经铸为黄金，现在回到了我的体内
BOSSES/DLG_BS102_06_0: 命运契约关系到我的觉醒，如今已然受到影响，大胆忏悔者竟敢有如此非分之想，我定教尔等安守本分。
BOSSES/DLG_BS102_06_1: 长夜将终，黎明将至。
BOSSES/DLG_BS12_01_0: 妹妹…原谅我…
BOSSES/DLG_BS12_01_1: 现在，我要前往大梦境的彼岸，并返回你的身旁…
BOSSES/DLG_BS12_02_0: 我的姊妹，虽然我看不见你，但我知道你在那儿。请你聆听我的请求。
BOSSES/DLG_BS12_02_1: 你走之后，该轮到我了，我要证明自己不会辜负长官的信任。我不会让克兰莎失望的。
BOSSES/DLG_BS12_02_2: 如果我的忏悔之辞泄露出去，那便让无尽的痛苦将我吞噬吧。
BOSSES/DLG_BS12_02_3: 务必当心，忏悔者。
BOSSES/DLG_BS203_01_0: 我们到了，我绯红的身影和你，到达了梦境的这一边
